route,comparison_group,baseline_avg_fare,baseline_avg_distance,baseline_distance_2,baseline_num_carriers,baseline_hhi,baseline_hub_route,baseline_n_legacy_carriers,baseline_legacy_carrier_share,baseline_n_lcc_carriers,baseline_avg_delay,baseline_delay_15_rate,baseline_cancellation_rate,baseline_avg_scheduled_flights,baseline_avg_seat_capacity,baseline_load_factor,baseline_route_size
10821-11721,Control (Never-Treated Routes),109.58307692307692,452,452,1,10000,1,0,0,1,11.340071623313932,18.131964553710052,1.668804995576289,175,25013,54.95142525886539,13745
10821-11986,Control (Never-Treated Routes),155.71790754257907,528,528,1,10000,1,0,0,1,14.724972107902193,29.16662923146077,1.5003999542898914,206,29235,62.21994185052163,18190
10821-11996,Control (Never-Treated Routes),135.6159722222222,426,426,1,10000,1,0,0,1,21.897737352146322,41.61025504746069,1.6026912799854725,93,13275,76.97928436911488,10219
10821-12191,Control (Never-Treated Routes),234.30580073800724,1246,1246,1,10000,1,0,0,1,26.574939836588456,47.679710115108016,0.9011803333311401,275,39867,81.43577394837835,32466
10821-12266,Control (Never-Treated Routes),267.4054382470118,1235,1235,1,10000,1,1,100,0,8.74082905796967,11.681353018352752,0.5388614927514299,195,27575,90.20489573889392,24874
10821-12339,Control (Never-Treated Routes),195.32391820580474,516,516,1,10000,1,0,0,1,16.850552810501554,34.082117476755094,0.9205408820644072,263,37426,73.15502591781114,27379
10821-12391,Control (Never-Treated Routes),156.14878246753247,220,220,1,10000,1,0,0,1,18.93702105299549,33.19874071649846,1.4458909712094798,437,62449,84.09101827090906,52514
10821-12451,Control (Never-Treated Routes),195.62763106796118,663,663,1,10000,1,0,0,1,20.72549401249356,38.876450328182614,1.5951995209204441,281,40107,85.5087640561498,34295
10821-12478,Control (Never-Treated Routes),254.10859139423562,184,184,2,5635.165189743793,1,0,0,0,12.771123359347262,19.55279330165588,2.5060746075055285,299,14949,74.3795571610141,11119
10821-12889,Control (Never-Treated Routes),186.07088224107082,2106,2106,2,6437.282043530217,1,0,0,2,19.17414084422263,39.240068812362665,0.5388614927514299,358,54418,94.52570840530706,51439
